"gene","score","rank"
"Ermp1",0.837828859268744,408
"Ptdss1",0.837828859268744,409
"Txndc15",0.837828859268744,410
"Ache",0.837339088848478,411
"Ighm",0.837339088848478,412
"Kcns1",0.837339088848478,413
"Kdelr2",0.835351971162294,414
"1600012H06Rik",0.834066127041366,415
"Slc35b2",0.831285815036983,416
"Sgce",0.830673945453756,417
"Olfml1",0.827757712890514,418
"Igsf8",0.825433133239582,419
"Slc45a1",0.822794481009739,420
"Faah",0.821677157294411,421
"Itgb1",0.82071638007619,422
"Mfsd1",0.817639435931808,423
"Pcdhb9",0.817639435931808,424
"Jam3",0.816159142897437,425
"Nrn1l",0.816159142897437,426
"Yif1b",0.814234331090218,427
"Rnft2",0.811765639798768,428
"Fstl1",0.811247383779448,429
"Lpar1",0.806977208217801,430
"Mansc1",0.806977208217801,431
"Sgcb",0.806977208217801,432
"Porcn",0.806873236413139,433
"Mogs",0.803729693754359,434
"Serpinb1a",0.803729693754359,435
"Gm3764",0.801585062011437,436
"Abhd3",0.801345624905667,437
"Ackr2",0.801255110982742,438
"Card19",0.801255110982742,439
"Syngr2",0.796873798978332,440
"Hapln4",0.7963605578744,441
"Pcdhgb4",0.792910023633225,442
"Prnp",0.790782574580079,443
"Sel1l3",0.790782574580079,444
"Kcnk6",0.78955364499351,445
"Glb1",0.788988066721066,446
"Gjc3",0.786484024759449,447
"Fstl3",0.786030625585367,448
"Pcdha4",0.786030625585367,449
"Ark2n",0.784952372659373,450
"Ddr1",0.784952372659373,451
"Emc3",0.784952372659373,452
"Fgfr3",0.784952372659373,453
"Itm2b",0.784952372659373,454
"M6pr",0.784952372659373,455
"Gm51579",0.783383620456705,456
"Slc3a2",0.783383620456705,457
"Chst12",0.779354920263375,458
"Clcn2",0.779354920263375,459
"Erlin2",0.779354920263375,460
"Mapk8ip1",0.779354920263375,461
"Pla2g7",0.779354920263375,462
"Ptprn",0.779354920263375,463
"Slc16a11",0.779354920263375,464
"Slc35a2",0.779354920263375,465
"Magt1",0.7729923729987,466
"Sc5d",0.7729923729987,467
"Atp13a4",0.77161324754514,468
"Shisa7",0.77161324754514,469
"Gpr137b",0.770782405218194,470
"Serpine2",0.770708874399624,471
"Dram2",0.768827011556429,472
"Gm19378",0.768827011556429,473
"Cd9",0.767677849721894,474
"Erp44",0.767253868549806,475
"Ppt1",0.767128577576167,476
"Zfp36",0.766555836434382,477
"Zfp488",0.765690970107747,478
"Gm30827",0.763564611373739,479
"Clstn2",0.762876573742604,480
"Norad",0.76265895673708,481
"Spon1",0.762611499312308,482
"Ddit4",0.76180401958277,483
"Ndfip1",0.76180401958277,484
"Ppp1r16b",0.76180401958277,485
"Sez6l",0.76180401958277,486
"Tmem132b",0.76180401958277,487
"Siglech",0.760614798262677,488
"Tmx2",0.760614798262677,489
"Atp13a1",0.760038775368449,490
"Lmbr1l",0.760038775368449,491
"Irf5",0.759855941257233,492
"P4hb",0.754479833158965,493
"Slc35f6",0.754479833158965,494
"Plpp2",0.754279119106915,495
"Scd1",0.754279119106915,496
"Abcc8",0.753860441864662,497
"Mfsd13a",0.753860441864662,498
"Pcdhb20",0.753860441864662,499
"Txnl4b",0.753860441864662,500
"Ptprs",0.750508456870802,501
"Sez6",0.748297016774095,502
"Dpy19l1",0.746040331567773,503
"Pdia6",0.746040331567773,504
"1700017B05Rik",0.744799958711309,505
"Abcg1",0.744773098269066,506
"Kcnn2",0.744553903068918,507
"Col6a1",0.744391658369993,508
"Galnt16",0.744391658369993,509
"Alg12",0.743142355301478,510
"Galnt14",0.743142355301478,511
"Gm26721",0.743142355301478,512
"Hyal2",0.743142355301478,513
"Tmem59l",0.743142355301478,514
"Paqr3",0.742424878551426,515
"Cnp",0.742418817248826,516
"Cntnap1",0.742418817248826,517
"Fkbp2",0.742418817248826,518
"Maml2",0.742418817248826,519
"Tusc3",0.742418817248826,520
"Plpp3",0.742258114648987,521
"Tyw1",0.740734503602169,522
"Galns",0.740384530476979,523
"Lrp1b",0.739254937808568,524
"Pcdhga2",0.739178915148881,525
"Tmem151a",0.738513632807779,526
"Elovl5",0.736284109837091,527
"Bmp2",0.732602159540988,528
"Itm2a",0.732114834925913,529
"Rtn4",0.732114834925913,530
"Hnmt",0.731561284767027,531
"Rtn3",0.731561284767027,532
"Csrp1",0.729440692454945,533
"Slc35b3",0.729440692454945,534
"Cerox1",0.728198741446829,535
"Rpn2",0.728198741446829,536
"Tmem38b",0.727637718169217,537
"Mfsd10",0.725134449309745,538
"Arl6ip1",0.723040802001424,539
"Ctns",0.722856038327124,540
"Ctsf",0.722856038327124,541
"Cyp2j6",0.722856038327124,542
"Slc66a1",0.722856038327124,543
"Slc22a17",0.722119038267933,544
"Adam10",0.722093312472135,545
"Col4a2",0.722093312472135,546
"Hgsnat",0.722093312472135,547
"Dnajb9",0.71816511838425,548
"Gm32694",0.718165064858736,549
"Mettl21a",0.718165064858736,550
"Ddc",0.71628911869175,551
"Lynx1",0.71628911869175,552
"Txndc12",0.71628911869175,553
"Adamts17",0.713384955864411,554
"Esam",0.711488830459708,555
"Stom",0.711185917387417,556
"Fbxo32",0.70958975749644,557
"Cyp11a1",0.709253429943844,558
"Dnajc16",0.709253429943844,559
"Laptm4b",0.709253429943844,560
"Mcoln1",0.709253429943844,561
"Syt3",0.708606404753008,562
"Clstn1",0.708462017612301,563
"Dpy19l4",0.704017253132506,564
