"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sgpp2",166.937962200454,1.52919640937754,0.4779143499359,3.19972900914701,0.00137556856841808,0.0487710431345024
"Tmem145",179.599390925475,1.52210713678682,0.365715360659269,4.16199946877523,3.15473085158645e-05,0.00336348006325526
"Prss23",542.684543044335,1.4775135534482,0.340122034393856,4.34406890480157,1.39867612690016e-05,0.00166362298748561
"Golm1",148.539816395738,1.44913187220467,0.437046061750524,3.31574174676323,0.000914002501061517,0.0376443824615282
"Gpr162",530.975385644855,1.43169320021136,0.359024043422126,3.98773627126703,6.67067580247929e-05,0.00593374374785036
"Cpm",102.8558290017,1.39196465490139,0.414673648080382,3.356771430606,0.000788582747116047,0.0343805358268079
"Olfml2b",78.8739031642134,1.37291313995033,0.409575915444627,3.35203582090495,0.000802196385965824,0.0346535007765064
"Gjb6",458.064107557663,1.35429896430963,0.374252579164356,3.61867636913434,0.000296113664239289,0.0173209210681293
"Sdc4",222.926049479158,1.3483677599189,0.408315493081386,3.30226940384587,0.000959059085505006,0.0387568151408515
"Cers2",357.366037473844,1.2979047022432,0.404108289760231,3.21177450483205,0.0013191787491113,0.0473772387614822
"Lrfn2",133.56282983034,1.28872113627931,0.347962733750507,3.70361826506206,0.000212546023133338,0.0137991620485512
"Pla2g4b",186.711462054522,1.26545176596,0.366657237330879,3.45132084442678,0.000557849978207336,0.0266227261028282
"Dagla",806.160423343902,1.25525813259842,0.282484561340989,4.4436344649759,8.84518323222391e-06,0.00113429700445864
"Ackr3",155.906101716557,1.24025461826945,0.345504280365612,3.58969393072936,0.000331066454306084,0.0188519773014521
"Slc44a2",239.53131404814,1.24008025229792,0.370706275205728,3.34518279090292,0.000822283583237341,0.0349191782678163
"Ero1b",273.665316034531,1.23897478120733,0.387034799517037,3.20119736714475,0.00136857754319483,0.0486685737133035
"Pik3ip1",638.466699770164,1.22154920848725,0.255080682885537,4.78887383657899,1.6771988014966e-06,0.000252133295828984
"Otulinl",726.177138425331,1.21218779184435,0.289081286767678,4.19324199569698,2.74995808421005e-05,0.00301752699853502
"Lgi3",910.549046622624,1.20922900453553,0.374893036358366,3.2255307174594,0.00125739341913525,0.0457685115492982
"Cnnm4",312.436484913012,1.18446573705647,0.315799668697226,3.75068707938412,0.000176350671652937,0.0123882226493393
"Cdh18",306.546656983782,1.16530871150828,0.32040535123142,3.63698267531934,0.000275850476909149,0.0163907518552381
"Scg5",2661.28000213011,1.16525039597075,0.329055781769568,3.54119410910929,0.00039832042365598,0.0214621897090335
"Gusb",272.182414890871,1.15654962471295,0.346934223222196,3.33362795394282,0.000857212338144431,0.0360965632474096
"Chgb",4603.5350426746,1.15071049831031,0.251879181627707,4.56850181453714,4.91222817696595e-06,0.000665275010669632
"Enpp2",2326.46341043722,1.14386321775771,0.330744617015156,3.45844847931507,0.000543296172366552,0.0262616442417568
"Rft1",166.002196152771,1.13422323102415,0.348739501189333,3.25235090133472,0.00114454626285313,0.0433399596208339
"Tmem132d",123.102179330392,1.11728449688492,0.350352819281538,3.18902670506866,0.00142752689354928,0.0497912106513371
"Lingo3",415.64446918442,1.11702192643453,0.287939379745757,3.87936491153391,0.000104729543628584,0.00809876865198625
"Stt3a",422.402877684176,1.10637575035313,0.303696157684754,3.64303506105461,0.000269442120206246,0.0161375433986474
"Relt",399.012274578042,1.09748062031846,0.326960103202841,3.3566193843461,0.000789016487743546,0.0343805358268079
"Tmem132a",1811.03790434442,1.09252193076028,0.263095390323204,4.15256964182518,3.2876265701342e-05,0.00343214515477968
"Paip1",1193.91868636287,1.09090283002659,0.279865261507055,3.89795726755138,9.70075288936328e-05,0.00779847156073787
"Epdr1",4655.17075873007,1.09075684006895,0.297615805904793,3.66498290221148,0.000247355107280765,0.0151775074602112
"Omg",1715.46885137118,1.08736728369141,0.266047896437799,4.08711099862288,4.36778177594051e-05,0.00429155970181135
"Cryab",2589.16681267469,1.08619899994665,0.322801336112037,3.3649148204568,0.00076567292681383,0.033754724659215
"Zdhhc9",425.786148853634,1.0809525626808,0.304512945045929,3.54977540451609,0.000385559939392942,0.0210634450299336
"Ilvbl",280.133057702905,1.07805316265583,0.320173400912742,3.36709158094501,0.000759654565897513,0.0336869825638269
"Lgmn",873.574133314391,1.07387833358527,0.310662100239564,3.45674072491352,0.000546750626091606,0.0262892262782627
"Scn2b",5418.26354957214,1.06231115995102,0.30179739456197,3.51994808137048,0.000431631280123612,0.0228475811059798
"Syvn1",326.276565052927,1.04984653230542,0.302554802814635,3.46993841293813,0.000520577716316057,0.0259133934085407
"Man1b1",777.391917884754,1.04784026626917,0.257996717535569,4.06144805359669,4.87692707263825e-05,0.00458217779268568
"Degs1",1200.41380401674,1.03535381811345,0.276999186290064,3.73775039551653,0.000185674140181137,0.0127044419343428
"Sparcl1",5491.00507124096,1.03086247491791,0.261314433392319,3.94491211807746,7.98292502428299e-05,0.00681859726647989
"Ext2",457.165940134734,1.02778874015573,0.275108551198346,3.73593890731052,0.000187016072286584,0.0127044419343428
"Zfyve27",847.285353197036,1.0190710067387,0.310951755658256,3.27726403918003,0.00104818299634649,0.0414666710107284
"Bcap29",1318.7318930682,1.01328816752578,0.281079257668631,3.60499090516443,0.000312163860180743,0.0180474993538199
"Slc20a2",396.235899529178,0.984148464662311,0.286034130685847,3.44066794512438,0.000580280189153714,0.027518460831381
"Lrrn2",1402.0799011957,0.980311246341311,0.264725133943041,3.70312871973932,0.000212956760290143,0.0137991620485512
"4921522P10Rik",1363.58052859953,0.97967904497665,0.291074406608837,3.36573406226402,0.000763402690508173,0.0337536254306158
"Mfsd14a",1393.7508300094,0.974709737420542,0.300604975047592,3.24249369880264,0.00118488568403789,0.0437650773664414
"Tspan14",887.343345780242,0.974553886331594,0.277302378520582,3.51440868098886,0.000440734178284006,0.0231662828746275
"Sigmar1",991.001497788434,0.974491445267586,0.26869893218283,3.62670382554597,0.000287062237237164,0.0169231631858286
"Retreg1",515.333286076141,0.974162428198341,0.260461913307791,3.740133886858,0.00018392226071174,0.0127044419343428
"Tm9sf2",1579.06678247622,0.969688960792377,0.257018911129775,3.77283117623496,0.000161405508922251,0.0115543286458486
"Atp6ap2",5679.54166778194,0.952784772784748,0.278838386856673,3.41697849971602,0.000633202801096828,0.0291991954260387
"Tpst2",680.771415604814,0.951175739980773,0.26120230702515,3.64152886248891,0.000271023733047049,0.0161678562654614
"Clu",4710.61073866056,0.945493562072198,0.290113516303596,3.25904692107749,0.00111787177916058,0.0427607288959821
"Sema4a",875.429331411886,0.939920540541299,0.267258437447919,3.51689753751727,0.000436622292113635,0.0230306769029624
"Cers5",511.724716819372,0.934874609403302,0.284469671788882,3.28637708028543,0.00101485055566471,0.0403604455113957
"Abhd16a",1285.66435887326,0.933290316183915,0.273413228903763,3.41347900365281,0.000641391005496077,0.0294863332893655
"Vmp1",1828.59525713957,0.927342059527372,0.288517257779014,3.21416495729229,0.0013082449201043,0.0471626999614579
"Ctsa",1158.19990245067,0.924457080135293,0.268331487961061,3.44520535834187,0.000570625691189959,0.0271462532141097
"Dkk3",6575.27168457892,0.9203068723298,0.281618726822916,3.267917878588,0.00108341796795645,0.0423029956402272
"Serinc1",9495.03249143786,0.919593664373785,0.278917033814704,3.2970150721763,0.000977182571524124,0.0392780363575459
"Unc50",1254.38929177529,0.919429637909135,0.278985728665209,3.29561530730655,0.000982063922832785,0.0393450711396472
"Aplp2",5084.4772986682,0.916804017040031,0.264067416354013,3.47185589838524,0.000516873703596223,0.0259005412872067
"Gpaa1",479.979145346219,0.907685934503516,0.270749144423924,3.35249788668699,0.000800858528437171,0.0346535007765064
"B4gat1",2108.20561061946,0.904062391232546,0.258473338403064,3.49770075636485,0.000469287365273843,0.0243268860764196
"Rnf13",1159.91812669507,0.895122475241936,0.267368637676113,3.34789630908871,0.000814274713921021,0.0348255962886851
"Exd2",851.897409250434,0.891589414022851,0.272696070355291,3.26953524801884,0.00107724315043805,0.0422824968160187
"Nptn",7046.98168195721,0.887084414055128,0.271935868040536,3.26210889518589,0.00110586653722007,0.0427364824011038
"Elmod1",3411.30217422517,0.882093956203716,0.253016653948046,3.48630788700907,0.000489737000370751,0.0249566655138085
"App",9623.54133526197,0.878711852460341,0.273206893734894,3.21628726291583,0.00129860773306413,0.0469278126229642
"Atp1b2",1516.43045239232,0.878520309523908,0.271007766083621,3.2416794626204,0.00118827591037669,0.0437827249036586
"Serinc3",3502.12181870637,0.876436174381684,0.260785759531748,3.36075166050233,0.00077730681296491,0.0340677939338236
"Canx",4138.40789803284,0.873177338056927,0.272112665025674,3.20888165192363,0.00133252328716618,0.0476948156570695
"Slc7a4",1852.47903438069,0.872543730931073,0.254438950421161,3.42928521551749,0.000605173208868176,0.0282066242572232
"Klc2",1279.43248706448,0.870509698197695,0.272406114908664,3.195632001468,0.00139524943539195,0.049121275789806
"Clstn3",4071.44439319703,0.863686651253466,0.243049512764604,3.55354199820987,0.000380080503864093,0.0208531029729522
"Ggt7",1501.16624829578,0.846908156425782,0.253884093243881,3.33580629493099,0.000850524034007573,0.0359155275371793
"Syngr1",10753.8518779961,0.841687665373114,0.260729126501471,3.22820728419219,0.00124568673625392,0.0454524483157891
"Daglb",876.585471597503,0.84156899650153,0.261455549255796,3.21878422124511,0.00128735319362426,0.0466332061680807
"Psap",10948.8266888055,0.833016506557744,0.257432558375294,3.23586306182508,0.00121275549057691,0.0445754359164859
"Ncan",2185.77575136383,0.829936909793381,0.255458697375407,3.24881054479721,0.0011588863490009,0.0435538462113263
"Mir9-3hg",1603.38656495968,0.824839670426481,0.232444505662828,3.54854449269259,0.000387366548565034,0.0210634450299336
"Clptm1",2562.62509767395,0.818431802343097,0.247309557751501,3.30934157896746,0.00093515671278664,0.0380981324209256
"Gm38484",480.704900872036,0.802967947818049,0.248526338499076,3.23091690268085,0.00123393807851156,0.0451333117622
"Rpp38",4213.60064764433,0.771743356006617,0.237956119700451,3.24321709808564,0.00118188117366989,0.0437616248368953
