"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atp2c1",1247.76923680961,-0.898642329828205,0.204643999011605,-4.39124691741996,1.12702465078898e-05,0.000157197440149972
"Gm21092",799.37723391332,-0.898722538896048,0.211039490292897,-4.25855150450151,2.05755816236761e-05,0.000257357524688479
"Hbs1l",1840.46823641136,-0.898780871464173,0.264041606217543,-3.4039365399242,0.000664221830219267,0.00431945468985015
"Tdp1",636.679240671037,-0.898993605348102,0.240612573284639,-3.73627027497276,0.000186769919174626,0.00155869873657846
"Hbp1",797.873651675448,-0.899293812459586,0.265953043405384,-3.38140072000913,0.000721172880945169,0.00462968334083689
"Ranbp2",783.367282213861,-0.900435163476724,0.299541388974896,-3.00604589755771,0.00264669044780174,0.0131086659765505
"Nadk",2752.56913879855,-0.900635594404651,0.280348927962003,-3.21255230384444,0.00131561190869624,0.00744093452275413
"Mtmr11",116.526024196227,-0.901241805259257,0.360258764197413,-2.50165129852441,0.012361561089887,0.0440140722190763
"Cacng3",3167.14772507032,-0.901336058333942,0.309190501559164,-2.91514795502691,0.00355519954402553,0.0166374478350005
"E2f6",1291.70676485624,-0.901750117712651,0.251865427942399,-3.58028541304558,0.000343219108308222,0.00254609256543511
"Wdr35",1034.81401883416,-0.902147575720834,0.246780399341808,-3.6556694864218,0.000256511668800597,0.00201112645549195
"Tmem108",307.464040842024,-0.902857305622016,0.296054836697228,-3.04962862858193,0.00229124493865269,0.0117111539531952
"2510009E07Rik",2128.25531142544,-0.90345832771859,0.186086329237273,-4.85504943550484,1.20356714292355e-06,2.36649026452848e-05
"Gosr1",1606.7255879116,-0.904411593370801,0.189599238970729,-4.77012248720276,1.84113930468928e-06,3.39773889865385e-05
"Siah1b",203.933231443759,-0.904662396607149,0.327086176213697,-2.76582277820296,0.00567793825261928,0.024012947193369
"Vps41",6804.81402287682,-0.904895051065175,0.219623756144991,-4.12020569608955,3.78534304628701e-05,0.000435068272695666
"Sh2b3",522.128808067561,-0.905070841931644,0.288647205219709,-3.1355607314567,0.00171525909456978,0.00926190586578982
"Stam2",703.657077352447,-0.905427940420608,0.229741101317622,-3.94107948132814,8.11157406604007e-05,0.000791247179350999
"Gm15663",135.228914901909,-0.905962568231629,0.356999304612819,-2.53771521828084,0.0111578738766981,0.0406493593542057
"Galnt10",111.068516121842,-0.906239185336299,0.346232378796103,-2.61743049130014,0.00885945299550982,0.0339160812687433
"Zfp788",920.422750337714,-0.906327058382976,0.334535776652534,-2.70920816736541,0.00674440090103337,0.0275086587931912
"Ptcd3",1480.77034830145,-0.907122051546046,0.221880708847427,-4.08833222256296,4.34485616445501e-05,0.000479562302001786
"Cln3",136.67898589448,-0.907317337876171,0.318873260225714,-2.84538545889338,0.00443577093936727,0.0198256920711619
"Tspyl3",1862.95181010263,-0.907556851206086,0.232381049349446,-3.9054684267362,9.40430371575022e-05,0.000884605199862241
"Papolg",573.477829422575,-0.907642332964009,0.241954783935312,-3.75128905575461,0.000175927733238957,0.00148554604199866
"Lman2",1145.42983293021,-0.907944679218693,0.231554358155009,-3.92108654940922,8.81505922894461e-05,0.000840112339276723
"Tmem135",1771.43099206249,-0.908305187479988,0.199120506634999,-4.56158535767978,5.07688293427341e-06,8.10466901579758e-05
"Kiz",458.499832125555,-0.908425714629744,0.266168767840259,-3.41296885431328,0.000642592857223518,0.00421713844526505
"Pias2",1942.92531755732,-0.910067833790462,0.229728078449617,-3.96150022205516,7.4480312819323e-05,0.000740465426321556
"Hspa5",2165.84610024706,-0.910166067499795,0.223922921739145,-4.06464001287048,4.810665362327e-05,0.000521398377149179
"Ero1a",549.189766487574,-0.910324286216287,0.218307034232587,-4.16992649557236,3.04697897082494e-05,0.00035899386744888
"Pip5k1c",21582.1266345866,-0.910595281505238,0.239274829162494,-3.80564593732023,0.000141434589298158,0.00124247391838417
"Trap1",1476.0776346283,-0.910666926799393,0.234794035997919,-3.87857776254361,0.000105068941308492,0.000970692273269477
"Uspl1",1489.32290051531,-0.910748583840273,0.215545568722196,-4.22531805798376,2.38603536827047e-05,0.000291881297248851
"Oip5os1",642.484781640513,-0.911088163437545,0.247038391070565,-3.68804281589293,0.000225985630126098,0.0018124699069697
"Scn3b",1551.07013608572,-0.911310989463617,0.260030962583972,-3.50462491238645,0.00045725100621659,0.0032037428243403
"Gpd1l",4867.99339883516,-0.912237361305387,0.186521725620246,-4.89078341020005,1.00435432869652e-06,2.04436459697549e-05
"Spry3",386.446122869617,-0.912414536913455,0.291276229130756,-3.1324716734913,0.00173341153179571,0.00934215780129552
"Mcoln1",723.801977344687,-0.912597752696806,0.269623454723463,-3.3847120371364,0.000712529623750238,0.00458399143810539
"Asb3",507.851992813357,-0.912602610867889,0.245449662677045,-3.71808459997219,0.00020073904976263,0.00165530024739185
"Pms2",416.945790424977,-0.912752685880634,0.28737181313079,-3.17620811845321,0.0014921386142502,0.00824380517222014
"Samd10",1111.27532227132,-0.912852062698172,0.349596103853396,-2.61116200276928,0.00902351366694567,0.0344213362886892
"Mfsd14b",811.932235295624,-0.913505707180133,0.373975377059784,-2.44268944753039,0.014578275937837,0.0497489461922281
"Mrgpre",244.302860623945,-0.913622937262777,0.342323951181848,-2.66888406174491,0.00761037149503113,0.0302281863031089
"Rgs7",3652.12207310805,-0.913862224452122,0.223169873901644,-4.094917510483,4.22318724398139e-05,0.000470279605478787
"Per2",681.17598722124,-0.914068299241078,0.339716249389751,-2.69068171123125,0.0071306190288229,0.0287714636183125
"Preb",2957.54188795094,-0.914415513634567,0.225961296932179,-4.04677936464945,5.19271432385936e-05,0.000555498036078519
"Traf6",392.608301010037,-0.914508320755852,0.238639043054136,-3.8321823162373,0.000127011555820924,0.00113637140651693
"Dcaf17",378.719367782706,-0.915328815538208,0.234607289636065,-3.90153612429568,9.55841938120396e-05,0.000898539273744968
"Kpna1",5013.37797503875,-0.915781805178906,0.188442816010095,-4.85973317831255,1.17544064161265e-06,2.32335122609279e-05
"Aldh1l1",1163.06353239797,-0.916138884151079,0.33797935315225,-2.71063565157599,0.0067154373062572,0.0274128530474445
"Pdzrn3",808.492267695875,-0.916903892853718,0.32205422436327,-2.84704817850633,0.00441266836079889,0.0197341780636859
"Dcaf12",2691.51346520308,-0.917215335232826,0.27767849869579,-3.30315577021928,0.000956032654211193,0.00578985817147434
